t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
0.0, 55.0, 18.0, 1.5707963267948966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 0.0, 0.0, 0.0, 0.0, 55.0, 2.0, 53.66563145999497
0.01, 55.0, 18.0, 1.5707963267948966, 0.0, 0.0, 0.006, 1.2, 1.2285017999999999, 0.0, 0.0, 16.0, 0.0, 0.0, 0.0, 0.006, 55.0, 2.0, 53.66563145999497
0.02, 55.0, 18.012285018, 1.5707963267948966, 0.012285017999999998, 1.2285017999999999, 0.024, 2.4, 2.4322215149946, 0.0, 0.0, 16.0, 0.0, 0.0, 0.0, 0.011714982000000002, 55.0, 2.012285018, 53.69309456829622
0.03, 55.0, 18.036607233149947, 1.5707963267948966, 0.036607233149946, 2.4322215149946, 0.054, 3.5999999999999996, 3.6364106771623033, 0.0, 0.0, 15.999999999999996, 0.0, 0.0, 1.7763568394002505E-14, 0.017392766850053996, 55.0, 2.036607233149951, 53.74742538909178
0.04, 55.0, 18.07297133992157, 1.5707963267948966, 0.07297133992156904, 3.6364106771623033, 0.096, 4.8, 4.840560722438256, 0.0, 0.0, 16.000000000000004, 0.0, 0.0, 3.552713678800501E-15, 0.023028660078430963, 55.0, 2.0729713399215655, 53.82855303257905
0.05, 55.0, 18.12137694714595, 1.5707963267948966, 0.1213769471459516, 4.840560722438256, 0.15000000000000002, 6.0, 6.044682103030306, 0.0, 0.0, 16.000000000000032, 0.0, 0.0, 1.7763568394002505E-14, 0.028623052854048425, 55.0, 2.1213769471459187, 53.93635571036498
0.060000000000000005, 55.0, 18.181823768176255, 1.5707963267948966, 0.18182376817625467, 6.044682103030306, 0.21600000000000003, 7.2, 7.248774812515285, 0.0, 0.0, 15.999999999999996, 0.0, 0.0, 3.552713678800501E-15, 0.03417623182374535, 55.0, 2.1818237681762582, 54.07067323755365
0.07, 55.0, 18.254311516301406, 1.5707963267948966, 0.2543115163014075, 7.248774812515285, 0.29400000000000004, 8.4, 8.452839053776831, 0.0, 0.0, 15.999999999999993, 0.0, 0.0, 7.105427357601002E-15, 0.039688483698592514, 55.0, 2.2543115163014136, 54.2313079679288
0.08, 55.0, 18.338839906839176, 1.5707963267948966, 0.33883990683917586, 8.452839053776831, 0.384, 9.6, 9.656875024076221, 0.0, 0.0, 15.999999999999993, 0.0, 0.0, 7.105427357601002E-15, 0.045160093160824144, 55.0, 2.3388399068391834, 54.418026219639806
0.09, 55.0, 18.43540865707994, 1.5707963267948966, 0.4354086570799381, 9.656875024076221, 0.486, 10.799999999999999, 10.860882919392536, 0.0, 0.0, 16.000000000000036, 0.0, 0.0, 2.1316282072803006E-14, 0.0505913429200619, 55.0, 2.435408657079904, 54.63055992481842
